�,date,city,home_team,away_team,home_ft,away_ft,tournament
"1904-02-29,""Wrexham, Wales"",Wales,England,2,2,British Championship"
"1904-03-12,""Dundee, Scotland"",Scotland,Wales,1,1,British Championship"
"1904-04-09,""Glasgow, Scotland"",Scotland,England,0,1,British Championship"
"1904-05-01,""Brussels, Belgium"",Belgium,France,3,3,Friendly"
"1904-06-02,""Budapest, Hungary"",Hungary,Austria,3,0,Friendly"
"1905-02-12,""Paris, France"",France,Switzerland,1,0,Friendly"
"1905-03-06,""Wrexham, Wales"",Wales,Scotland,3,1,British Championship"
"1905-03-27,""Liverpool, England"",England,Wales,3,1,British Championship"
"1905-04-01,""London, England"",England,Scotland,1,0,British Championship"
"1905-04-09,""Budapest, Hungary"",Hungary,Austria,0,0,Friendly"
"1905-04-30,""Antwerp, Belgium"",Belgium,Netherlands,1,4,Friendly"
"1905-05-07,""Brussels, Belgium"",Belgium,France,7,0,Friendly"
"1905-05-14,""Rotterdam, Netherlands"",Netherlands,Belgium,4,0,Friendly"
"1905-08-15,""Buenos Aires, Argentina"",Argentina,Uruguay,0,0,Copa Lipton"
"1906-03-03,""Edinburgh, Scotland"",Scotland,Wales,0,2,British Championship"
"1906-03-19,""Cardiff, Wales"",Wales,England,0,1,British Championship"
"1906-04-07,""Glasgow, Scotland"",Scotland,England,2,1,British Championship"
"1906-04-22,""Saint-Cloud, France"",France,Belgium,0,5,Friendly"
"1906-04-29,""Antwerp, Belgium"",Belgium,Netherlands,5,0,Friendly"
"1906-05-13,""Rotterdam, Netherlands"",Netherlands,Belgium,2,3,Friendly"
"1906-11-04,""Budapest, Hungary"",Hungary,Austria,3,1,Friendly"
"1907-03-04,""Wrexham, Wales"",Wales,Scotland,1,0,British Championship"
"1907-03-18,""London, England"",England,Wales,1,1,British Championship"
"1907-04-06,""Newcastle, England"",England,Scotland,1,1,British Championship"
"1907-04-14,""Antwerp, Belgium"",Belgium,Netherlands,1,3,Friendly"
"1907-04-21,""Brussels, Belgium"",Belgium,France,1,2,Friendly"
"1907-05-05,""Vienna, Austria"",Austria,Hungary,3,1,Friendly"
"1907-05-09,""Haarlem, Netherlands"",Netherlands,Belgium,1,2,Friendly"
"1907-11-03,""Budapest, Hungary"",Hungary,Austria,4,1,Friendly"
"1908-03-07,""Dundee, Scotland"",Scotland,Wales,2,1,British Championship"
"1908-03-08,""Geneva, Switzerland"",Switzerland,France,1,2,Friendly"
"1908-03-16,""Wrexham, Wales"",Wales,England,1,7,British Championship"
"1908-03-29,""Antwerp, Belgium"",Belgium,Netherlands,1,4,Friendly"
"1908-04-04,""Glasgow, Scotland"",Scotland,England,1,1,British Championship"
"1908-04-05,""Basel, Switzerland"",Switzerland,Germany,5,3,Friendly"
"1908-04-12,""Colombes, France"",France,Belgium,1,2,Friendly"
"1908-04-26,""Rotterdam, Netherlands"",Netherlands,Belgium,3,1,Friendly"
"1908-05-03,""Vienna, Austria"",Austria,Hungary,4,0,Friendly"
"1908-05-10,""Rotterdam, Netherlands"",Netherlands,France,4,1,Friendly"
"1908-06-06,""Vienna, Austria"",Austria,England,1,6,Friendly"
"1908-06-07,""Vienna, Austria"",Austria,Germany,3,2,Friendly"
"1908-06-08,""Vienna, Austria"",Austria,England,1,11,Friendly"
"1908-06-10,""Budapest, Hungary"",Hungary,England,0,7,Friendly"
"1908-07-12,""Gothenburg, Sweden"",Sweden,Norway,11,3,Friendly"
"1908-08-15,""Montevideo, Uruguay"",Uruguay,Argentina,2,2,Copa Lipton"
"1908-09-13,""Buenos Aires, Argentina"",Argentina,Uruguay,2,1,Copa Newton"
"1908-10-04,""Buenos Aires, Argentina"",Argentina,Uruguay,0,1,Copa Premio Honor Argentino"
"1908-10-25,""The Hague, Netherlands"",Netherlands,Sweden,5,3,Friendly"
"1908-10-26,""Brussels, Belgium"",Belgium,Sweden,2,1,Friendly"
"1908-11-01,""Budapest, Hungary"",Hungary,Austria,5,3,Friendly"
"1909-03-01,""Wrexham, Wales"",Wales,Scotland,3,2,British Championship"
"1909-03-15,""Nottingham, England"",England,Wales,2,0,British Championship"
"1909-03-21,""Antwerp, Belgium"",Belgium,Netherlands,1,4,Friendly"
"1909-04-03,""London, England"",England,Scotland,2,0,British Championship"
"1909-04-04,""Karlsruhe, Germany"",Germany,Switzerland,1,0,Friendly"
"1909-04-04,""Budapest, Hungary"",Hungary,Germany,3,3,Friendly"
