�,date,city,home_team,away_team,home_ft,away_ft,tournament
"1973-03-13,""Sydney, Australia"",Australia,Indonesia,2,1,FIFA World Cup qualification"
"1973-03-16,""Sydney, Australia"",Iraq,Indonesia,1,1,FIFA World Cup qualification"
"1973-03-16,""Sydney, Australia"",Australia,New Zealand,3,3,FIFA World Cup qualification"
"1973-03-18,""Melbourne, Australia"",Australia,Iraq,0,0,FIFA World Cup qualification"
"1973-03-18,""Melbourne, Australia"",Indonesia,New Zealand,1,0,FIFA World Cup qualification"
"1973-03-21,""Sydney, Australia"",Iraq,Indonesia,3,2,FIFA World Cup qualification"
"1973-03-24,""Sydney, Australia"",Iraq,New Zealand,4,0,FIFA World Cup qualification"
"1973-03-24,""Sydney, Australia"",Australia,Indonesia,6,0,FIFA World Cup qualification"
"1973-03-24,""Lima, Peru"",Peru,Bolivia,2,0,Friendly"
"1973-03-28,""Cardiff, Wales"",Wales,Poland,2,0,FIFA World Cup qualification"
"1973-03-28,""Coventry, England"",Northern Ireland,Portugal,1,1,FIFA World Cup qualification"
"1973-03-28,""Vienna, Austria"",Austria,Netherlands,1,0,Friendly"
"1973-03-28,""Lima, Peru"",Peru,Paraguay,1,0,Friendly"
"1973-03-31,""Genoa, Italy"",Italy,Luxembourg,5,0,FIFA World Cup qualification"
"1973-03-31,""La Paz, Bolivia"",Bolivia,Paraguay,1,1,Friendly"
"1973-04-01,""Addis Abeba, Ethiopia"",Ethiopia,Zambia,0,0,FIFA World Cup qualification"
"1973-04-08,""Luxembourg, Luxembourg"",Luxembourg,Switzerland,0,1,FIFA World Cup qualification"
"1973-04-08,""Asunción, Paraguay"",Paraguay,Peru,1,1,Friendly"
"1973-04-14,""Port-au-Prince, Haiti"",Haiti,Chile,1,1,Friendly"
"1973-04-15,""Lusaka, Zambia"",Zambia,Ethiopia,4,2,FIFA World Cup qualification"
"1973-04-18,""Izmir, Turkey"",Turkey,Bulgaria,5,2,Balkan Cup"
"1973-04-23,""Lima, Peru"",Peru,Panama,4,0,Friendly"
"1973-04-24,""Guayaquil, Ecuador"",Ecuador,Chile,1,1,Friendly"
"1973-04-26,""Copenhagen, Denmark"",Denmark,Sweden,1,2,Friendly"
"1973-04-29,""Budapest, Hungary"",Hungary,Austria,2,2,FIFA World Cup qualification"
"1973-04-29,""Lima, Peru"",Peru,Chile,2,0,FIFA World Cup qualification"
"1973-04-29,""La Paz, Bolivia"",Bolivia,Ecuador,3,3,Friendly"
"1973-05-02,""Sofia, Bulgaria"",Bulgaria,Portugal,2,1,FIFA World Cup qualification"
"1973-05-02,""Amsterdam, Netherlands"",Netherlands,Spain,3,2,Friendly"
"1973-05-04,""Teheran, Iran"",Syria,Kuwait,2,1,FIFA World Cup qualification"
"1973-05-06,""Tirana, Albania"",Albania,Romania,1,4,FIFA World Cup qualification"
"1973-05-06,""Teheran, Iran"",Kuwait,Iran,1,2,FIFA World Cup qualification"
"1973-05-06,""Quito, Ecuador"",Ecuador,Bolivia,0,0,Friendly"
"1973-05-08,""London, England"",Northern Ireland,Cyprus,3,0,FIFA World Cup qualification"
"1973-05-08,""Teheran, Iran"",Syria,Iran,0,1,FIFA World Cup qualification"
"1973-05-09,""Basel, Switzerland"",Switzerland,Turkey,0,0,FIFA World Cup qualification"
"1973-05-09,""Munich, Germany FR"",Germany,Yugoslavia,0,1,Friendly"
"1973-05-11,""Teheran, Iran"",Syria,Kuwait,2,0,FIFA World Cup qualification"
"1973-05-12,""Hamburg, Germany FR"",Germany,Bulgaria,3,0,Friendly"
"1973-05-12,""Port-au-Prince, Haiti"",Haiti,Ecuador,1,2,Friendly"
"1973-05-12,""Wrexham, Wales"",Wales,Scotland,0,2,British Championship"
"1973-05-13,""Teheran, Iran"",Iran,Kuwait,2,0,FIFA World Cup qualification"
"1973-05-13,""Santiago, Chile"",Chile,Peru,2,0,FIFA World Cup qualification"
"1973-05-13,""Warsaw, Poland"",Poland,Yugoslavia,2,2,Friendly"
"1973-05-15,""Teheran, Iran"",Iran,Syria,0,1,FIFA World Cup qualification"
"1973-05-15,""Port-au-Prince, Haiti"",Haiti,Ecuador,1,0,Friendly"
"1973-05-15,""London, England"",England,Wales,3,0,British Championship"
"1973-05-16,""Seoul, Korea Republic"",Israel,Japan,2,1,FIFA World Cup qualification"
"1973-05-16,""Glasgow, Scotland"",Scotland,Northern Ireland,1,2,British Championship"
"1973-05-17,""Seoul, Korea Republic"",Hong Kong,Malaysia,1,0,FIFA World Cup qualification"
"1973-05-17,""Buenos Aires, Argentina"",Argentina,Uruguay,1,1,Copa Lipton"
"1973-05-19,""Seoul, Korea Republic"",Israel,Malaysia,3,0,FIFA World Cup qualification"
"1973-05-19,""London, England"",England,Scotland,1,0,British Championship"
"1973-05-19,""Liverpool, England"",Northern Ireland,Wales,1,0,British Championship"
"1973-05-21,""Seoul, Korea Republic"",Israel,Thailand,6,0,FIFA World Cup qualification"
"1973-05-22,""Seoul, Korea Republic"",Japan,Hong Kong,0,1,FIFA World Cup qualification"
"1973-05-23,""Gothenburg, Sweden"",Sweden,Austria,3,2,FIFA World Cup qualification"
"1973-05-23,""Seoul, Korea Republic"",Thailand,Malaysia,0,2,FIFA World Cup qualification"
"1973-05-23,""Montevideo, Uruguay"",Uruguay,Argentina,1,1,Copa Newton"
"1973-05-26,""Seoul, Korea Republic"",Israel,Japan,1,0,FIFA World Cup qualification"
"1973-05-27,""Port-au-Prince, Haiti"",Haiti,Colombia,1,2,Friendly"
"1973-05-27,""Rio de Janeiro, Brazil"",Brazil,Bolivia,5,0,Friendly"
"1973-05-29,""Port-au-Prince, Haiti"",Haiti,Colombia,2,1,Friendly"
"1973-06-03,""Algiers, Algeria"",Algeria,Brazil,0,2,Friendly"
"1973-06-06,""Chorzów, Poland"",Poland,England,2,0,FIFA World Cup qualification"
"1973-06-06,""Tunis, Tunisia"",Tunisia,Brazil,1,4,Friendly"
"1973-06-06,""Port-au-Prince, Haiti"",Haiti,Uruguay,0,0,Friendly"
"1973-06-08,""Klaksvík, Faroe Islands"",Faroe Islands,Iceland,0,4,Friendly"
"1973-06-09,""Rome, Italy"",Italy,Brazil,2,0,Friendly"
"1973-06-13,""Budapest, Hungary"",Hungary,Sweden,3,3,FIFA World Cup qualification"
"1973-06-13,""Vienna, Austria"",Austria,Brazil,1,1,Friendly"
"1973-06-14,""Turin, Italy"",Italy,England,2,0,Friendly"
"1973-06-16,""Berlin, Germany FR"",Germany,Brazil,0,1,Friendly"
"1973-06-21,""Bogotá, Colombia"",Colombia,Ecuador,1,1,FIFA World Cup qualification"
"1973-06-21,""Copenhagen, Denmark"",Denmark,Norway,1,0,Nordic Championship"
"1973-06-22,""Berne, Switzerland"",Switzerland,Scotland,1,0,Friendly"
"1973-06-24,""Bogotá, Colombia"",Colombia,Uruguay,0,0,FIFA World Cup qualification"
"1973-06-25,""Solna, Sweden"",Sweden,Brazil,1,0,Friendly"
"1973-06-28,""Guayaquil, Ecuador"",Ecuador,Colombia,1,1,FIFA World Cup qualification"
"1973-06-30,""Glasgow, Scotland"",Scotland,Brazil,0,1,Friendly"
"1973-07-01,""Quito, Ecuador"",Ecuador,Uruguay,1,2,FIFA World Cup qualification"
"1973-07-01,""Lima, Peru"",Peru,Colombia,3,1,Friendly"
"1973-07-05,""Montevideo, Uruguay"",Uruguay,Colombia,0,1,FIFA World Cup qualification"
"1973-07-08,""Montevideo, Uruguay"",Uruguay,Ecuador,4,0,FIFA World Cup qualification"
"1973-07-08,""Halmstad, Sweden"",Sweden,Finland,1,1,Nordic Championship"
"1973-07-11,""Uddevalla, Sweden"",Sweden,Iceland,1,0,Friendly"
"1973-07-13,""Buenos Aires, Argentina"",Argentina,Chile,5,4,Copa Carlos Dittborn"
"1973-07-15,""La Paz, Bolivia"",Bolivia,Peru,2,0,Friendly"
"1973-07-15,""Curepipe, Mauritius"",Mauritius,Réunion,1,1,Friendly"
"1973-07-18,""Santiago, Chile"",Chile,Argentina,3,1,Copa Carlos Dittborn"
"1973-07-19,""Ramat-Gan, Israel"",Israel,Uruguay,1,2,Friendly"
"1973-07-24,""Santiago, Chile"",Chile,Bolivia,3,0,Friendly"
"1973-07-27,""Buenos Aires, Argentina"",Argentina,Peru,3,1,Copa Ramón Castilla"
"1973-08-01,""Toronto, Canada"",Canada,Poland,1,3,Friendly"
"1973-08-03,""Reykjavík, Iceland"",Iceland,Norway,0,4,FIFA World Cup qualification"
"1973-08-05,""Montevideo, Uruguay"",Chile,Peru,2,1,FIFA World Cup qualification"
"1973-08-08,""Monterrey, Mexico"",Mexico,Poland,1,2,Friendly"
"1973-08-11,""Benghazi, Libya"",Libya,United Arab Emirates,2,2,Friendly"
"1973-08-12,""Ndola, Zambia"",Zambia,Kenya,2,0,FIFA World Cup qualification"
"1973-08-12,""Auckland, New Zealand"",New Zealand,Iran,0,0,Friendly"
"1973-08-12,""Kuala Lumpur, Malaysia"",Malaysia,Kuwait,3,1,Merdeka Tournament"
"1973-08-13,""Benghazi, Libya"",Algeria,United Arab Emirates,2,0,Friendly"
"1973-08-15,""Benghazi, Libya"",Algeria,Iraq,0,0,Friendly"
"1973-08-18,""Sydney, Australia"",Australia,Iran,3,0,FIFA World Cup qualification"
"1973-08-18,""Benghazi, Libya"",Libya,Iraq,0,0,Friendly"
"1973-08-19,""Nairobi, Kenya"",Kenya,Zambia,2,2,FIFA World Cup qualification"
"1973-08-19,""Varna, Bulgaria"",Bulgaria,Poland,0,2,Friendly"
"1973-08-20,""Benghazi, Libya"",Iraq,United Arab Emirates,3,1,Friendly"
"1973-08-21,""Benghazi, Libya"",Libya,Algeria,0,2,Friendly"
"1973-08-22,""Amsterdam, Netherlands"",Netherlands,Iceland,5,0,FIFA World Cup qualification"
"1973-08-24,""Teheran, Iran"",Iran,Australia,2,0,FIFA World Cup qualification"
"1973-08-25,""Tripoli, Libya"",Algeria,Iraq,0,0,Friendly"
"1973-08-29,""Deventer, Netherlands"",Iceland,Netherlands,1,8,FIFA World Cup qualification"
"1973-08-29,""Helsinki, Finland"",Finland,Sweden,1,2,Nordic Championship"
"1973-09-02,""La Paz, Bolivia"",Bolivia,Paraguay,1,2,FIFA World Cup qualification"
"1973-09-08,""Paris, France"",France,Greece,3,1,Friendly"
"1973-09-09,""Buenos Aires, Argentina"",Argentina,Bolivia,4,0,FIFA World Cup qualification"
"1973-09-12,""Oslo, Norway"",Norway,Netherlands,1,2,FIFA World Cup qualification"
"1973-09-16,""Asunción, Paraguay"",Paraguay,Argentina,1,1,FIFA World Cup qualification"
"1973-09-20,""Mexico City, Mexico"",Mexico,Chile,1,2,Friendly"
"1973-09-22,""Kampala, Uganda"",Uganda,Somalia,6,1,CECAFA Cup"
"1973-09-23,""Trondheim, Norway"",Norway,Denmark,0,1,Nordic Championship"
"1973-09-23,""La Paz, Bolivia"",Bolivia,Argentina,0,1,FIFA World Cup qualification"
"1973-09-24,""Seoul, Korea Republic"",Malaysia,Thailand,5,1,Korea Cup"
"1973-09-26,""Lucerne, Switzerland"",Switzerland,Luxembourg,1,0,FIFA World Cup qualification"
"1973-09-26,""Chorzów, Poland"",Poland,Wales,3,0,FIFA World Cup qualification"
"1973-09-26,""Sheffield, England"",Northern Ireland,Bulgaria,0,0,FIFA World Cup qualification"
"1973-09-26,""London, England"",England,Austria,7,0,Friendly"
"1973-09-26,""Kampala, Uganda"",Uganda,Zambia,1,1,CECAFA Cup"
"1973-09-26,""Belgrade, Yugoslavia"",Yugoslavia,Hungary,1,1,Friendly"
"1973-09-28,""Gżira, Malta"",Malta,Canada,2,0,Friendly"
"1973-09-28,""Kampala, Uganda"",Uganda,Zambia,2,1,CECAFA Cup"
"1973-09-28,""Seoul, Korea Republic"",Cambodia,Malaysia,2,0,Korea Cup"
"1973-09-29,""Milan, Italy"",Italy,Sweden,2,0,Friendly"
"1973-09-29,""Kampala, Uganda"",Uganda,Tanzania,2,1,CECAFA Cup"
"1973-09-30,""Asunción, Paraguay"",Paraguay,Bolivia,4,0,FIFA World Cup qualification"
"1973-10-07,""Buenos Aires, Argentina"",Argentina,Paraguay,3,1,FIFA World Cup qualification"
"1973-10-07,""Luxembourg, Luxembourg"",Luxembourg,Canada,0,2,Friendly"
"1973-10-10,""Tirana, Albania"",Albania,Finland,1,0,FIFA World Cup qualification"
"1973-10-10,""Hanover, Germany FR"",Germany,Austria,4,0,Friendly"
"1973-10-10,""Rotterdam, Netherlands"",Netherlands,Poland,1,1,Friendly"
"1973-10-13,""Lisbon, Portugal"",Portugal,Bulgaria,2,2,FIFA World Cup qualification"
"1973-10-13,""Gelsenkirchen, Germany FR"",Germany,France,2,1,Friendly"
"1973-10-13,""Copenhagen, Denmark"",Denmark,Hungary,2,2,Friendly"
"1973-10-14,""Bucharest, Romania"",Romania,Finland,9,0,FIFA World Cup qualification"
"1973-10-17,""London, England"",England,Poland,1,1,FIFA World Cup qualification"
"1973-10-17,""Istanbul, Turkey"",Turkey,Spain,0,0,Friendly"
"1973-10-20,""Rome, Italy"",Italy,Switzerland,2,0,FIFA World Cup qualification"
"1973-10-21,""Zagreb, Yugoslavia"",Yugoslavia,Spain,0,0,FIFA World Cup qualification"
"1973-10-21,""Lusaka, Zambia"",Zambia,Morocco,4,0,FIFA World Cup qualification"
"1973-10-31,""Brussels, Belgium"",Belgium,Norway,2,0,FIFA World Cup qualification"
"1973-10-31,""Algiers, Algeria"",Algeria,Morocco,2,0,Friendly"
"1973-11-10,""Port-au-Prince, Haiti"",Haiti,Canada,5,1,Friendly"
"1973-11-11,""Gżira, Malta"",Malta,Sweden,1,2,FIFA World Cup qualification"
"1973-11-12,""Port-au-Prince, Haiti"",Haiti,Canada,0,1,Friendly"
"1973-11-14,""Lisbon, Portugal"",Portugal,Northern Ireland,1,1,FIFA World Cup qualification"
"1973-11-14,""Glasgow, Scotland"",Scotland,Germany,1,1,Friendly"
"1973-11-14,""London, England"",England,Italy,0,1,Friendly"
"1973-11-18,""Izmir, Turkey"",Turkey,Switzerland,2,0,FIFA World Cup qualification"
"1973-11-18,""Amsterdam, Netherlands"",Netherlands,Belgium,0,0,FIFA World Cup qualification"
"1973-11-18,""Sofia, Bulgaria"",Bulgaria,Cyprus,2,0,FIFA World Cup qualification"
"1973-11-21,""Paris, France"",France,Denmark,3,0,Friendly"
"1973-11-24,""Stuttgart, Germany FR"",Germany,Spain,2,1,Friendly"
"1973-11-25,""Tétouan, Morocco"",Morocco,Zambia,2,0,FIFA World Cup qualification"
"1973-11-29,""Port-au-Prince, Haiti"",Honduras,Trinidad and Tobago,2,1,FIFA World Cup qualification"
"1973-12-03,""Port-au-Prince, Haiti"",Honduras,Mexico,1,1,FIFA World Cup qualification"
"1973-12-04,""Port-au-Prince, Haiti"",Haiti,Trinidad and Tobago,2,1,FIFA World Cup qualification"
"1973-12-13,""Port-au-Prince, Haiti"",Haiti,Guatemala,2,1,FIFA World Cup qualification"
"1973-12-15,""Port-au-Prince, Haiti"",Guatemala,Honduras,1,1,FIFA World Cup qualification"
"1973-12-19,""Piraeus, Greece"",Greece,Yugoslavia,2,4,FIFA World Cup qualification"
"1973-12-23,""Bangkok, Thailand"",Thailand,Malaysia,0,1,King's Cup"
"1974-01-18,""Karachi, Pakistan"",Pakistan,Turkey,2,2,Friendly"
"1974-02-06,""Morphou, Cyprus"",Cyprus,Bulgaria,1,4,Friendly"
"1974-02-08,""Kuwait, Kuwait"",Kuwait,Bulgaria,1,3,Friendly"
"1974-02-10,""Kuwait, Kuwait"",Kuwait,Bulgaria,1,2,Friendly"
"1974-02-12,""Kallang, Singapore"",Singapore,Japan,0,1,Friendly"
"1974-02-13,""Frankfurt am Main, Germany FR"",Yugoslavia,Spain,1,0,FIFA World Cup qualification"
"1974-02-20,""So Kon Po, Hong Kong"",Hong Kong,Japan,0,0,Friendly"
"1974-02-23,""Barcelona, Spain"",Spain,Germany,1,0,Friendly"
"1974-02-26,""Rome, Italy"",Italy,Germany,0,0,Friendly"
"1974-03-01,""Cairo, Egypt"",Egypt,Uganda,2,1,African Cup of Nations"
"1974-03-03,""Alexandria, Egypt"",Congo,Mauritius,2,0,African Cup of Nations"
"1974-03-04,""Cairo, Egypt"",Egypt,Zambia,3,1,African Cup of Nations"
"1974-03-05,""Damanhur, Egypt"",Guinea,Mauritius,2,1,African Cup of Nations"
"1974-03-06,""Lomé, Togo"",Togo,Denmark,0,2,Friendly"
"1974-03-10,""Cotonou, Dahomey"",Benin,Denmark,2,0,Friendly"
"1974-03-11,""Cairo, Egypt"",Egypt,Congo,4,0,African Cup of Nations"
"1974-03-13,""Saint-Pierre, Réunion"",Réunion,Seychelles,2,0,Friendly"
"1974-03-15,""Kuwait, Kuwait"",Kuwait,United Arab Emirates,2,0,Gulf Cup (3rd)"
"1974-03-16,""Kuwait, Kuwait"",Bahrain,Oman,4,0,Gulf Cup (3rd)"
"1974-03-19,""Kuwait, Kuwait"",Kuwait,Oman,5,0,Gulf Cup (3rd)"
"1974-03-23,""Port-au-Prince, Haiti"",Haiti,Uruguay,0,1,Friendly"
"1974-03-23,""Kuwait, Kuwait"",Saudi Arabia,United Arab Emirates,2,0,Gulf Cup (3rd)"
"1974-03-23,""Paris, France"",France,Romania,1,0,Friendly"
"1974-03-24,""Kuwait, Kuwait"",Kuwait,Qatar,1,0,Gulf Cup (3rd)"
"1974-03-25,""Port-au-Prince, Haiti"",Haiti,Uruguay,0,0,Friendly"
"1974-03-26,""Kuwait, Kuwait"",Kuwait,United Arab Emirates,6,0,Gulf Cup (3rd)"
"1974-03-27,""Rotterdam, Netherlands"",Netherlands,Austria,1,1,Friendly"
"1974-03-27,""Frankfurt am Main, Germany FR"",Germany,Scotland,2,1,Friendly"
"1974-03-28,""Kingston, Jamaica"",Jamaica,Uruguay,0,3,Friendly"
"1974-03-29,""Kuwait, Kuwait"",Kuwait,Saudi Arabia,4,0,Gulf Cup (3rd)"
"1974-03-31,""Zalaegerszeg, Hungary"",Hungary,Bulgaria,3,1,Friendly"
"1974-03-31,""Rio de Janeiro, Brazil"",Brazil,Mexico,1,1,Friendly"
"1974-04-03,""Lisbon, Portugal"",Portugal,England,0,0,Friendly"
"1974-04-07,""Casablanca, Morocco"",Morocco,Algeria,2,0,Friendly"
"1974-04-12,""Hamilton, Bermuda"",Bermuda,Canada,0,0,Friendly"
"1974-04-14,""Rio de Janeiro, Brazil"",Brazil,Bulgaria,1,0,Friendly"
"1974-04-17,""Dortmund, Germany FR"",Germany,Hungary,5,0,Friendly"
"1974-04-17,""São Paulo, Brazil"",Brazil,Romania,2,0,Friendly"
"1974-04-17,""Liège, Belgium"",Belgium,Poland,1,1,Friendly"
"1974-04-21,""Brasília, Brazil"",Brazil,Haiti,4,0,Friendly"
"1974-04-21,""Jakarta, Indonesia"",Indonesia,Uruguay,2,3,Friendly"
"1974-04-22,""Buenos Aires, Argentina"",Argentina,Romania,2,1,Friendly"
"1974-04-24,""Port-au-Prince, Haiti"",Haiti,Chile,0,1,Friendly"
"1974-04-26,""Port-au-Prince, Haiti"",Haiti,Chile,0,0,Friendly"
"1974-04-28,""Rio de Janeiro, Brazil"",Brazil,Greece,0,0,Friendly"
"1974-05-01,""São Paulo, Brazil"",Brazil,Austria,0,0,Friendly"
"1974-05-01,""Hamburg, Germany FR"",Germany,Sweden,2,0,Friendly"
"1974-05-01,""Geneva, Switzerland"",Switzerland,Belgium,0,1,Friendly"
"1974-05-08,""Sofia, Bulgaria"",Bulgaria,Turkey,5,1,Balkan Cup"
"1974-05-11,""Cardiff, Wales"",Wales,England,0,2,British Championship"
"1974-05-11,""Glasgow, Scotland"",Scotland,Northern Ireland,0,1,British Championship"
"1974-05-12,""Rio de Janeiro, Brazil"",Brazil,Paraguay,2,0,Friendly"
"1974-05-14,""Glasgow, Scotland"",Scotland,Wales,2,0,British Championship"
"1974-05-15,""Warsaw, Poland"",Poland,Greece,2,0,Friendly"
"1974-05-15,""London, England"",England,Northern Ireland,1,0,British Championship"
"1974-05-18,""Glasgow, Scotland"",Scotland,England,2,0,British Championship"
"1974-05-18,""Paris, France"",France,Argentina,0,1,Friendly"
"1974-05-18,""Wrexham, Wales"",Wales,Northern Ireland,1,0,British Championship"
"1974-05-21,""Jakarta, Indonesia"",Indonesia,Australia,1,2,Friendly"
"1974-05-22,""London, England"",England,Argentina,2,2,Friendly"
"1974-05-26,""Amsterdam, Netherlands"",Netherlands,Argentina,4,1,Friendly"
"1974-05-28,""Jaffa, Israel"",Israel,Australia,2,1,Friendly"
"1974-05-29,""Székesfehérvár, Hungary"",Hungary,Yugoslavia,3,2,Friendly"
"1974-05-29,""Bucharest, Romania"",Romania,Greece,3,1,Balkan Cup"
"1974-06-01,""Bruges, Belgium"",Belgium,Scotland,2,1,Friendly"
"1974-06-01,""Sofia, Bulgaria"",Bulgaria,England,0,1,Friendly"
"1974-06-03,""Copenhagen, Denmark"",Denmark,Sweden,0,2,Nordic Championship"
"1974-06-05,""Rotterdam, Netherlands"",Netherlands,Romania,0,0,Friendly"
"1974-06-05,""Belgrade, Yugoslavia"",Yugoslavia,England,2,2,Friendly"
"1974-06-06,""Oulu, Finland"",Finland,Denmark,1,1,Nordic Championship"
"1974-06-06,""Oslo, Norway"",Norway,Scotland,1,2,Friendly"
"1974-06-08,""Vienna, Austria"",Austria,Italy,0,0,Friendly"
"1974-06-09,""Malmö, Sweden"",Sweden,Switzerland,0,0,Friendly"
"1974-06-13,""Frankfurt am Main, Germany FR"",Brazil,Yugoslavia,0,0,FIFA World Cup"
"1974-06-14,""Berlin, Germany FR"",Germany,Chile,1,0,FIFA World Cup"
"1974-06-15,""Düsseldorf, Germany FR"",Sweden,Bulgaria,0,0,FIFA World Cup"
"1974-06-15,""Hanover, Germany FR"",Uruguay,Netherlands,0,2,FIFA World Cup"
"1974-06-15,""Stuttgart, Germany FR"",Poland,Argentina,3,2,FIFA World Cup"
"1974-06-15,""Munich, Germany FR"",Italy,Haiti,3,1,FIFA World Cup"
"1974-06-18,""Hamburg, Germany FR"",Australia,Germany,0,3,FIFA World Cup"
"1974-06-18,""Frankfurt am Main, Germany FR"",Scotland,Brazil,0,0,FIFA World Cup"
"1974-06-19,""Dortmund, Germany FR"",Netherlands,Sweden,0,0,FIFA World Cup"
"1974-06-19,""Hanover, Germany FR"",Bulgaria,Uruguay,1,1,FIFA World Cup"
"1974-06-19,""Munich, Germany FR"",Haiti,Poland,0,7,FIFA World Cup"
"1974-06-19,""Stuttgart, Germany FR"",Argentina,Italy,1,1,FIFA World Cup"
"1974-06-22,""Berlin, Germany FR"",Australia,Chile,0,0,FIFA World Cup"
"1974-06-22,""Frankfurt am Main, Germany FR"",Scotland,Yugoslavia,1,1,FIFA World Cup"
"1974-06-23,""Düsseldorf, Germany FR"",Sweden,Uruguay,3,0,FIFA World Cup"
"1974-06-23,""Dortmund, Germany FR"",Bulgaria,Netherlands,1,4,FIFA World Cup"
"1974-06-23,""Stuttgart, Germany FR"",Poland,Italy,2,1,FIFA World Cup"
"1974-06-23,""Munich, Germany FR"",Argentina,Haiti,4,1,FIFA World Cup"
"1974-06-26,""Gelsenkirchen, Germany FR"",Netherlands,Argentina,4,0,FIFA World Cup"
"1974-06-26,""Stuttgart, Germany FR"",Sweden,Poland,0,1,FIFA World Cup"
"1974-06-26,""Düsseldorf, Germany FR"",Yugoslavia,Germany,0,2,FIFA World Cup"
"1974-06-30,""Hanover, Germany FR"",Argentina,Brazil,1,2,FIFA World Cup"
"1974-06-30,""Düsseldorf, Germany FR"",Germany,Sweden,4,2,FIFA World Cup"
"1974-06-30,""Frankfurt am Main, Germany FR"",Poland,Yugoslavia,2,1,FIFA World Cup"
"1974-07-03,""Dortmund, Germany FR"",Netherlands,Brazil,2,0,FIFA World Cup"
"1974-07-03,""Düsseldorf, Germany FR"",Sweden,Yugoslavia,2,1,FIFA World Cup"
"1974-07-03,""Frankfurt am Main, Germany FR"",Poland,Germany,0,1,FIFA World Cup"
"1974-07-03,""Tórshavn, Faroe Islands"",Faroe Islands,Iceland,2,3,Friendly"
"1974-07-06,""Munich, Germany FR"",Brazil,Poland,0,1,FIFA World Cup"
"1974-07-07,""Munich, Germany FR"",Netherlands,Germany,1,2,FIFA World Cup"
"1974-07-25,""Ipoh, Malaysia"",Malaysia,India,4,1,Merdeka Tournament"
"1974-08-01,""Ipoh, Malaysia"",Malaysia,Thailand,3,2,Merdeka Tournament"
"1974-08-08,""Gothenburg, Sweden"",Sweden,Norway,2,1,Nordic Championship"
"1974-08-15,""Oslo, Norway"",Norway,Finland,1,2,Nordic Championship"
"1974-08-19,""Reykjavík, Iceland"",Iceland,Finland,2,2,Friendly"
"1974-08-24,""Gżira, Malta"",Malta,Libya,0,1,Friendly"
"1974-09-01,""Helsinki, Finland"",Finland,Poland,1,2,UEFA Euro qualification"
"1974-09-03,""Copenhagen, Denmark"",Denmark,Indonesia,9,0,Friendly"
"1974-09-04,""Vienna, Austria"",Austria,Wales,2,1,UEFA Euro qualification"
"1974-09-04,""Oslo, Norway"",Norway,Northern Ireland,2,1,UEFA Euro qualification"
"1974-09-04,""Solna, Sweden"",Sweden,Netherlands,1,5,Friendly"
"1974-09-04,""Basel, Switzerland"",Switzerland,Germany,1,2,Friendly"
"1974-09-04,""Tripoli, Libya"",Libya,Malta,0,0,Friendly"
"1974-09-07,""Wrocław, Poland"",Poland,France,0,2,Friendly"
"1974-09-08,""Reykjavík, Iceland"",Iceland,Belgium,0,2,UEFA Euro qualification"
"1974-09-25,""Copenhagen, Denmark"",Denmark,Spain,1,2,UEFA Euro qualification"
"1974-09-25,""Helsinki, Finland"",Finland,Netherlands,1,3,UEFA Euro qualification"
"1974-09-25,""Sofia, Bulgaria"",Bulgaria,Romania,0,0,Friendly"
"1974-09-28,""Vienna, Austria"",Austria,Hungary,1,0,Friendly"
"1974-09-28,""Zagreb, Yugoslavia"",Yugoslavia,Italy,1,0,Friendly"
"1974-10-09,""Poznań, Poland"",Poland,Finland,3,0,UEFA Euro qualification"
"1974-10-09,""Rotterdam, Netherlands"",Netherlands,Switzerland,1,0,Friendly"
"1974-10-09,""Aalborg, Denmark"",Denmark,Iceland,2,1,Friendly"
"1974-10-09,""Damascus, Syria"",Sudan,Tunisia,1,3,Friendly"
"1974-10-12,""Brussels, Belgium"",Belgium,France,2,1,UEFA Euro qualification"
"1974-10-12,""Buenos Aires, Argentina"",Argentina,Spain,1,1,Friendly"
"1974-10-13,""Luxembourg, Luxembourg"",Luxembourg,Hungary,2,4,UEFA Euro qualification"
"1974-10-13,""Copenhagen, Denmark"",Denmark,Romania,0,0,UEFA Euro qualification"
"1974-10-13,""Sofia, Bulgaria"",Bulgaria,Greece,3,3,UEFA Euro qualification"
"1974-10-30,""Cardiff, Wales"",Wales,Hungary,2,0,UEFA Euro qualification"
"1974-10-30,""Solna, Sweden"",Sweden,Northern Ireland,0,2,UEFA Euro qualification"
"1974-10-30,""Belgrade, Yugoslavia"",Yugoslavia,Norway,3,1,UEFA Euro qualification"
"1974-10-31,""Warsaw, Poland"",Poland,Canada,2,0,Friendly"
"1974-10-31,""Algiers, Algeria"",Algeria,Morocco,0,0,Friendly"
"1974-11-03,""Saigon, Vietnam Republic"",Cambodia,Thailand,2,2,Vietnam Independence Cup"
"1974-11-06,""Santiago, Chile"",Chile,Argentina,0,2,Copa Carlos Dittborn"
"1974-11-10,""Tunis, Tunisia"",Tunisia,Libya,1,0,African Cup of Nations qualification"
"1974-11-10,""Varna, Bulgaria"",Bulgaria,Hungary,0,0,Friendly"
"1974-11-13,""Istanbul, Turkey"",Turkey,Austria,0,1,Friendly"
"1974-11-13,""Berne, Switzerland"",Switzerland,Portugal,3,0,Friendly"
"1974-11-15,""Piraeus, Greece"",Greece,Cyprus,3,1,Friendly"
